B7823	35.93389 	113.21722 
B7824	35.94111 	113.34361 
B7825	35.95917 	113.41889 
B7826	36.07222 	113.18083 
B7842	36.25139 	113.42889 
B7843	36.21472 	113.36167 
B7846	36.05917 	113.41389 
B7848	36.03333 	113.56278 
B7849	36.13972 	113.55444 
B7850	36.35333 	113.59361 
B7851	36.12361 	113.43667 
B7852	36.20472 	113.31583 
B7853	36.30889 	113.41167 
B7854	36.34861 	113.50861 
B7855	36.36083 	113.69806 
B7856	36.35556 	113.47417 
B7857	36.06028 	113.42194 
B7858	36.24417 	113.31083 
B7859	36.22056 	113.56417 
B7530	36.78222 	113.29722 
B7531	37.03028 	112.58361 
B7557	36.59722 	112.62028 
B7558	36.85944 	112.61667 
B7559	36.83222 	112.77417 
B7587	36.44361 	112.40417 
B7588	36.74417 	112.37639 
B7589	36.66778 	112.20139 
B7705	36.34167 	112.62083 
B7706	36.30472 	112.84167 
B7797	35.98611 	113.08250 
B7798	35.92667 	113.05972 
B7799	35.94722 	112.99722 
B7827	36.03556 	113.23167 
B7828	35.93722 	113.25667 
B7643	36.67389 	113.44333 
B7644	36.61583 	113.38250 
B7615	36.48500 	113.00806 
B7616	36.48000 	112.85056 
B7860	36.18556 	113.40111 
B7861	36.09556 	113.46889 
B7733	36.31389 	113.07194 
B7734	36.16167 	113.17250 
B5061	40.17861 	112.88500 
B5063	40.11500 	112.71972 
B5064	40.08306 	112.82556 
B5066	39.97944 	112.86722 
B5067	39.87333 	112.92556 
B5068	39.88167 	112.76639 
B5069	39.88611 	112.65083 
B5120	39.90528 	113.60972 
B5121	40.16806 	113.57611 
B5122	40.11444 	113.45056 
B5123	40.05306 	113.45444 
B5124	40.03333 	113.76444 
B5125	40.02028 	113.65167 
B5126	39.79028 	113.41167 
B5127	39.98917 	113.42250 
B5129	39.93417 	113.46194 
B5130	39.92278 	113.60250 
B5131	39.85056 	113.45667 
B5152	39.78444 	113.82389 
B5154	39.72833 	113.56583 
B5155	39.72306 	113.61111 
B5156	39.68139 	113.89250 
B5157	39.74694 	113.51889 
B5158	39.67639 	113.66528 
B5160	39.65444 	113.84611 
B5163	39.65889 	113.60917 
B5165	39.61583 	113.76167 
B5167	39.51389 	113.63833 
B5169	39.80222 	113.80083 
B5170	39.67583 	113.50028 
B5211	39.53972 	114.43056 
B5212	39.53889 	114.35694 
B5213	39.51722 	114.14611 
B5215	39.44583 	114.31472 
B5217	39.43389 	114.17139 
B5219	39.33111 	113.97194 
B5220	39.21917 	114.31056 
B5221	39.18944 	114.18611 
B5222	39.12000 	114.17111 
B5216	39.38722 	114.04972 
B5001	40.65806 	114.06722 
B5003	40.42611 	114.21750 
B5004	40.33806 	114.07444 
B5006	40.38583 	113.92639 
B5007	40.34194 	114.03528 
B5012	40.34361 	113.91750 
B5032	40.36611 	113.87083 
B5033	40.32806 	113.56806 
B5035	40.30389 	113.93167 
B5036	40.27750 	113.81222 
B5040	40.13556 	113.95583 
B5044	40.24500 	113.66194 
B5045	39.98528 	113.96722 
B5046	40.13944 	113.73194 
B5047	40.40972 	113.71250 
B5048	40.22667 	113.83472 
B5049	40.14972 	113.92250 
B5050	40.03139 	113.91139 
B5091	40.09583 	113.21917 
B5092	40.10028 	113.30972 
B5093	40.17083 	113.30194 
B5094	40.03833 	113.39056 
B5095	40.07611 	113.29222 
B5096	40.07194 	113.39000 
B5097	40.22611 	113.10056 
B5101	40.34861 	113.26806 
B5102	40.28139 	113.03361 
B5103	40.26306 	113.15111 
B5104	40.22389 	113.00250 
B5105	40.23056 	113.21861 
B5106	40.18833 	113.03778 
B5107	40.16056 	113.33917 
B5110	40.10056 	112.97750 
B5111	40.10667 	113.12556 
B5112	40.08167 	113.24417 
B5113	40.08250 	113.35861 
B5114	40.04667 	113.18500 
B5117	40.00194 	113.13278 
B5118	40.01556 	113.23889 
B5119	39.96417 	112.99694 
B5183	39.79444 	113.96083 
B5186	39.75389 	114.09250 
B5188	39.70944 	114.17944 
B5189	39.70528 	114.23194 
B5190	39.75639 	114.04028 
B5191	39.80583 	113.98639 
B5132	40.03083 	113.74972 
B7001	36.81694 	110.46667 
B7004	36.81694 	110.68306 
B7005	36.86694 	110.47500 
B7006	36.63083 	110.58667 
B7008	36.87778 	110.72806 
B7009	36.74361 	110.63139 
B7031	36.65139 	110.83778 
B7032	36.77056 	110.93278 
B7033	36.84667 	111.06111 
B7034	36.57222 	110.89056 
B7035	36.62778 	111.10472 
B7037	36.60167 	110.99194 
B7041	36.83083 	110.99000 
B7042	36.60306 	110.86472 
B7061	36.52417 	111.64111 
B7064	36.60111 	111.60806 
B7067	36.64639 	111.65972 
B7068	36.75861 	111.50000 
B7069	36.70167 	111.35806 
B7072	36.68111 	111.59278 
B7091	36.58333 	111.85000 
B7092	36.64889 	111.72750 
B7093	36.50222 	111.82167 
B7094	36.64111 	111.87750 
B7095	36.52917 	111.71667 
B7096	36.58583 	111.74556 
B7098	36.54278 	111.86417 
B7099	36.46667 	111.80278 
B7115	36.46944 	110.96944 
B7121	36.37389 	110.85917 
B7122	36.51667 	110.55194 
B7123	36.44750 	110.62417 
B7124	36.34889 	110.52806 
B7125	36.55194 	110.81333 
B7126	36.50917 	110.74222 
B7127	36.36528 	110.81806 
B7128	36.47389 	110.80917 
B7151	36.45667 	111.34806 
B7152	36.40556 	110.90361 
B7153	36.29417 	111.24556 
B7154	36.48083 	111.10611 
B7155	36.39583 	111.33028 
B7156	36.53361 	111.04500 
B7157	36.55528 	111.29111 
B7182	36.34778 	111.41222 
B7183	36.46778 	111.44278 
B7184	36.30889 	111.56861 
B7186	36.30556 	111.63278 
B7187	36.25500 	111.56194 
B7188	36.33667 	111.72667 
B7189	36.14917 	111.73167 
B7190	36.41806 	111.76528 
B7191	36.37778 	111.69722 
B7192	36.11472 	111.68806 
B7193	36.17917 	111.60444 
B7194	36.41639 	111.53528 
B7195	36.23028 	111.74361 
B7196	36.27333 	111.66833 
B7197	36.29472 	111.57833 
B7198	36.20722 	111.81694 
B7199	36.19194 	111.61917 
B7211	36.10806 	111.88667 
B7212	36.17722 	112.02694 
B7213	36.15250 	112.08472 
B7214	36.40528 	112.01722 
B7215	36.09167 	112.00694 
B7216	36.52694 	112.04389 
B7217	36.26083 	112.04194 
B7218	36.22111 	111.99333 
B7219	36.17806 	111.93000 
B7220	36.31111 	111.97194 
B7221	36.35861 	111.91722 
B7222	36.45639 	111.92278 
B7241	36.22083 	110.89861 
B7243	35.99417 	110.58889 
B7244	36.11667 	110.45000 
B7245	36.24750 	110.81833 
B7246	36.10556 	110.58861 
B7247	35.99500 	110.68861 
B7248	36.22083 	110.50694 
B7249	36.10639 	110.76028 
B7250	36.15083 	110.64472 
B7271	36.20250 	111.46917 
B7272	36.12639 	111.30361 
B7273	36.02667 	111.59722 
B7274	36.12056 	111.53000 
B7275	36.05361 	111.66639 
B7276	36.08306 	111.58444 
B7277	36.19167 	111.51944 
B7278	36.12778 	111.63556 
B7279	36.06056 	111.42278 
B7280	36.02528 	111.54139 
B7281	35.94889 	111.65389 
B7282	36.24611 	111.41250 
B7283	36.23667 	111.49111 
B7284	36.10139 	111.44417 
B7285	36.05556 	111.46472 
B7286	36.14528 	111.18528 
B7287	36.08472 	111.72694 
B7288	36.08583 	111.38889 
B7302	36.03583 	112.29639 
B7303	36.37444 	112.19139 
B7305	36.13694 	112.23361 
B7306	36.05694 	112.43583 
B7308	36.09278 	112.26778 
B7309	36.17139 	112.29917 
B7331	35.98139 	111.14917 
B7332	35.89222 	110.93250 
B7333	35.80556 	110.65278 
B7334	36.08667 	111.07500 
B7335	36.04361 	111.04750 
B7336	36.04250 	111.20500 
